Lake_Name,Round ,date,JD,Edible_Chl,dent,cerio ,pulic,Bosmina,parv,ambig,diaph ,scaph ,alona,chaob ,ostr ,cal ,cyc ,overall_m_prev,N_ug,P_ug,Z_bottom,n_max,bfs,d_tcline,t_tcline, depth_Ezi,T_Ezi,d1mgL,mDO,mspc,mpH,mT,mchlv,mchla
Downing,4,8/30/10,242,1.91,310925.4077,1258.807319,6294.036594,,,,,,,"2,224.31",,,,0,355.01,10.48,7.12,64.71,0.11,5.61,21.7,5.11,23.85,5.91,4.68,"1,223.20",7.46,24.22,9.46,"1,035.43"
Downing,4,9/3/10,246,1.87,428623.8921,3776.421956,232249.9503,,,,,,,322.88,,,,0,221.85,8.75,8.41,50.04,0.09,5.84,24.86,4.59,27.27,8.29,8.31,"1,785.25",7.92,27.64,1.7,185.99
Downing,5,9/6/10,249,1.77,140986.4197,,127139.5392,,,,,,,179.38,,,,0.01,322.12,9.5,6.03,62.8,0.11,5.92,24.43,5.17,27.08,6.03,7.52,"1,797.20",7.88,27.16,1.72,187.9
Downing,5,9/10/10,253,3.29,208962.0149,6294.036594,94410.54891,1258.807319,,,,,,538.14,,,,0.02,298.27,8.6,11.19,65.93,0.12,6.69,20.69,6.14,23.11,10.04,8.9,"2,634.83",7.75,23.25,1.12,122.02
Downing,6,9/13/10,256,2.39,205185.593,1258.807319,3776.421956,1258.807319,,,,,,35.88,,,,0.01,283.41,8.13,7.98,48.89,0.09,6.68,22.74,6.13,24.11,7.98,8.86,"1,923.83",7.75,24.58,4.91,536.66
Downing,6,9/17/10,260,2.83,278196.4175,2517.614638,55387.52203,,,,,,,645.77,,,,0.04,261.38,8.06,8.1,58.33,0.1,6.54,18.46,5.89,20.61,6.54,5.15,"1,249.20",7.53,21.12,7.38,807.46
Downing,7,9/24/10,267,2.24,278196.4175,6294.036594,40281.8342,,,,,,1258.807319,"1,255.66",,,,0.18,216.51,9.14,8.05,50.2,0.09,8.01,19.05,6.21,24.15,8.05,7.95,"1,875.83",7.74,24.5,4.64,507.1
Downing,8,9/29/10,272,2.16,596674.6691,8811.651232,17623.30246,,,,1258.807319,,,"1,506.79",,,,0.13,289.24,9.72,9.06,51.18,0.09,7.6,15.82,7.2,17.28,7.75,4,"1,268.29",7.38,17.73,4.15,454.3
Downing,9,10/8/10,281,3.3,243579.2162,3776.421956,3776.421956,,,,,,1888.210978,789.27,,,,0.3,237.87,13.46,9.65,43.35,0.08,7.58,15.94,7.13,17.19,6.73,3.48,"1,274.00",7.37,17.89,2.92,319.3
Downing,10,10/15/10,288,2.96,717520.1717,5664.632935,15105.68783,,,,,,,825.15,,,,0.2,317.99,18.34,9,35.29,0.06,8.9,12.74,7.25,16.31,7.85,4.2,"1,279.57",7.38,16.52,3.73,408.16
Downing,11,10/22/10,295,2.98,641991.7326,3776.421956,,,,,,,,251.13,,,,0.06,261.83,16.32,10.09,38.6,0.07,8.52,14.03,8.07,15.2,7.82,4.07,"1,287.88",7.29,15.89,3.31,361.46
Downing,12,10/27/10,300,4.73,279455.2248,3776.421956,1888.210978,1888.210978,,,,,,322.88,,,,0.09,275.4,12.07,10.05,4.31,0.01,8.55,10.96,10.05,10.92,10.05,5.66,"1,291.33",7.32,11,2.96,324.17
Downing,13,11/5/10,309,4.12,160497.9332,944.1054891,3776.421956,,,,,,,0,,,,0.06,298.27,5.26,8.02,4.6,0.01,2.55,13.67,8.02,15.77,8.02,8.95,"1,976.88",7.63,13.63,3.74,409.51
Downing,14,11/10/10,314,3.66,,,,,,,,,,,,,,0.05,263.96,40.25,9.51,5.77,0.01,9.43,10.54,9.51,10.53,9.51,5.86,"1,292.67",7.32,10.58,2.66,291.2
Downing,15,11/19/10,323,2.47,464499.9006,,3776.421956,,,,,,,0,,,,0,269.68,10.45,,,,,,,,,,,,,,
Downing,17,11/29/10,333,2.75,229102.932,,,,,,,,,35.88,,,,0,292.55,10.46,7.09,2.22,0,4.48,8.12,7.09,8.13,7.09,8.9,"1,973.00",7.55,8.11,2.71,295.76
Gambill,1,8/11/10,223,1.41,,,,,,,,,,"1,470.92",,,,0,277.9,6.91,4.99,60.83,0.11,4.99,26.57,4.09,29.39,4.99,7.61,"1,739.75",7.81,29.95,1.72,187.63
Gambill,2,8/19/10,231,2.45,53814.01288,2832.316467,57118.38209,,,,,,,"1,614.42",,,,0,296.63,4.56,8.07,52.81,0.09,6.38,22.8,4.08,29.18,8.07,7.55,"1,751.00",7.86,29.29,1.17,127.41
Gambill,3,8/24/10,236,2.32,106746.8606,1510.568783,8056.36684,,,,,,,"1,578.54",,,,0,147.07,7.59,8.43,51.18,0.09,5.62,25.29,4.02,28.99,8.37,7.68,"1,755.75",7.83,29.19,1.83,200.22
Gambill,4,9/3/10,246,2.37,,,,,,,,,,287.01,,,,0,256.35,6.5,7.99,45.27,0.08,5.81,24.41,5.26,25.54,7.99,7.82,"1,817.40",7.92,25.69,1.88,205.86
Gambill,5,9/6/10,249,1.94,171449.5568,14350.40343,3021.137565,,,,,,,"1,219.78",,,,0,239.9,6.5,7.04,60.89,0.11,5.58,23.38,4.38,26.43,6.98,7.45,"1,683.50",7.49,26.69,2.57,280.98
Gambill,6,9/17/10,260,2.41,213997.2442,5035.229275,,,,,,,,"1,470.92",,,,0,151.23,5.18,8.36,49.47,0.09,7.46,20.8,6.16,23.97,8.11,7.82,"1,858.50",7.84,24.06,5.23,572.43
Gambill,7,9/24/10,267,1.64,214311.946,15105.68783,944.1054891,,,,,,,"1,793.80",,,,0,131.05,6.46,7.04,10.95,0.02,1.06,22.57,7.04,22.26,7.04,7.92,"1,879.83",7.67,22.42,1.71,186.26
Gambill,8,9/29/10,272,2.15,153574.4929,5664.632935,,,,,,,,"1,865.55",,,,0,201.54,4.4,10.09,54.32,0.09,6.6,20.11,5.25,23.42,9.5,7.57,"1,751.20",7.48,23.9,1.48,161.41
Gambill,9,10/8/10,281,3.02,88745.91598,3304.369212,,,,944.1054891,,,944.1054891,466.39,,,,0.02,168.44,13.13,8,29.21,0.05,7.96,19.49,7.71,19.79,8,9.34,"2,053.43",7.59,19.46,7.94,869.46
Gambill,10,10/15/10,288,1.94,191653.4143,10385.16038,,,,,,,,825.15,,,,0.05,179.12,8,8.09,30.98,0.05,8.08,18.94,7.88,19.2,8.09,10.55,"2,149.88",7.52,18.99,8.43,922.24
Gambill,11,10/22/10,295,1.99,58534.54033,2202.912808,,,,,,,,107.63,,,,0.03,228.94,6.74,8.07,7.68,0.01,3.68,17.2,8.07,18.93,8.07,8.87,"1,975.43",7.58,17.12,11.22,"1,227.69"
Gambill,12,10/27/10,300,3.13,74017.87035,8056.36684,,,,,,,,71.75,,,,0.02,263.96,7.97,8,7.26,0.01,1.04,17.32,8,18.54,8,10.75,"2,027.29",7.49,17.31,9.38,"1,026.21"
Gambill,13,11/5/10,309,2.54,61501.72901,1078.977702,,,,,,,,0,,,,0.01,155.32,5.43,8.04,6.64,0.01,2.4,12.62,8.04,14.5,8.04,9.03,"1,986.00",7.71,12.58,3.42,373.9
Gambill,14,11/12/10,316,2.74,141825.6246,7552.843913,,,,,,,,0,,,,0.01,200.79,6.33,10.05,23.79,0.04,10.01,12.5,9.41,13.27,8.56,6.79,"1,998.11",6.95,13.24,1.81,198
Gambill,15,11/19/10,323,2.21,69234.40254,419.6024396,,,,,,,,0,,,,0.02,143.88,5.47,8.02,3.36,0.01,2.52,10.65,8.02,12.47,8.02,8.79,"1,993.71",7.6,10.66,3.66,400.49
Gambill,16,11/22/10,326,2.2,59415.70545,,503.5229275,,,,,,,107.63,,,,0.05,189.63,13.25,9.02,2.23,0,6.5,7.31,9.02,7.31,9.02,6.94,"1,262.22",7.44,7.31,1.67,181.94
Goodman,1,8/10/10,222,1.9,304001.9675,1888.210978,109516.2367,,,,,,,"1,793.80",,,,0,296.63,13.86,10.02,65.41,0.11,4.64,25.97,3.44,29.15,10.02,7.64,"1,604.33",7.62,29.61,1.34,146.66
Goodman,2,8/17/10,229,3.46,260573.115,,147280.4563,,,,,,,"7,749.22",,,,0,339.36,13.47,10.05,62.72,0.11,4.68,26.88,4.08,28.86,10.05,7.46,"1,634.00",7.57,28.94,2.18,237.73
Goodman,3,8/23/10,235,,483382.0104,1888.210978,81193.07206,,,,,,,"6,493.56",,,,0,296.63,16.01,9.84,65.6,0.11,4.69,25.79,4.04,28.19,9.84,7.48,"1,683.00",7.42,28.35,2.49,272.22
Goodman,4,9/1/10,244,1.83,268125.9589,1888.210978,69863.80619,,,,,,1888.210978,"5,811.91",,,,0.01,349.53,14.78,10.02,62.69,0.11,5.67,22.87,5.17,24.83,10.02,7.5,"1,739.60",7.19,24.95,1.87,204.55
Goodman,5,9/8/10,251,12.12,217144.2625,11329.26587,30211.37565,,,,,,,"12,484.85",,,,0.02,412.63,13.63,7.04,65.44,0.11,4.67,23.88,3.87,26.51,5.87,7.56,"1,303.67",7.73,27.02,2.83,309.08
Goodman,6,9/15/10,258,4.52,400300.7274,20770.32076,16993.8988,,,,,,,"19,229.54",,,,0.04,288.92,13.69,9.97,56.03,0.1,6.64,20.03,6.14,21.79,9.54,7.84,"1,847.00",7.19,21.82,3.11,340.47
Goodman,7,9/22/10,265,4.7,103473.9616,30211.37565,9063.412696,,,,,,2517.614638,"16,431.21",,,,0.25,316.64,13.9,7.04,56.38,0.1,5.59,20.01,4.29,23.35,5.19,7.42,"1,324.75",7.74,24.1,7.77,850.11
Goodman,8,9/29/10,272,3.78,240432.1979,60422.7513,10070.45855,,,,,,1258.807319,"24,395.69",,,,0.27,415.31,15.94,10.02,46.46,0.08,7.57,17.11,7.12,18.39,8.72,7.69,"1,895.00",7.27,18.45,4.29,468.85
Goodman,9,10/6/10,279,5.15,343654.398,60422.7513,1258.807319,,,,,,,"24,144.55",,,,0.47,280.6,23.95,10.04,41.12,0.07,7.72,16.72,7.22,17.93,8.37,7.5,"1,903.29",7.19,18.13,2.59,283.48
Goodman,10,10/13/10,286,6.58,148035.7407,25679.6693,7552.843913,,,,,,,"15,570.19",,,,0.42,576.77,84.13,9.97,34.16,0.06,8.56,14.98,8.11,15.88,7.96,7.15,"1,927.50",7.06,16.31,2.13,232.53
Goodman,11,10/20/10,293,8.09,164274.3551,35876.00859,6608.738424,,,,,,,"3,444.10",,,,0.49,399.07,30.82,9.11,31.75,0.06,9.09,13.63,7.59,16.05,7.84,7.65,"1,897.29",7.13,16.54,1.9,208.08
Goodman,12,10/27/10,300,11.5,247985.0418,11329.26587,16364.49514,,,,,,,"13,597.01",,,,0.37,378.32,35.14,10.05,14.51,0.03,10.02,12.53,10.05,12.51,8.97,7.76,"1,959.00",7.09,12.04,2.18,238.27
Goodman,13,11/3/10,307,10.66,581568.9813,26434.9537,18882.10978,,,,,,,143.5,,,,0.22,435.06,75.45,7.01,3.3,0.01,7,13.52,7.01,13.52,7.01,2.65,"1,363.50",7.46,13.55,15.51,"1,697.73"
Goodman,14,11/10/10,314,11.01,819483.5646,18882.10978,18882.10978,,,,,,,251.13,,,,0.05,570.2,79.19,10.06,2.86,0,3.49,10.24,10.06,11.71,8.99,7.99,"1,966.56",7.16,10.35,2.39,261.51
Goodman,15,11/15/10,319,5.13,2058149.966,15105.68783,33987.79761,666.4274041,,,,,,0,,,,0.16,418.27,84.7,11.97,18.13,0.03,11.96,12.81,11.97,12.8,11.86,6.68,"1,897.67",7.29,11.64,5.02,548.89
Goodman,17,11/29/10,333,7.08,24879.95642,,31322.08799,,,,,,,0,,,,0.01,504.11,48.28,,,,,,,,,,,,,,
Goose,1,8/11/10,223,3.42,,,,16993.8988,,,60422.7513,,,645.77,,,,0,371.53,8.66,7.07,66.4,0.12,3.86,25.85,2.81,29.04,6.46,8.45,"1,252.50",7.57,29.81,2.86,312.73
Goose,2,8/19/10,231,3.61,35876.00859,26434.9537,237914.5833,32099.58663,,,73640.22815,,,932.78,,,,0,323.33,8.98,6.94,70.63,0.12,4.45,23.89,3,28.95,5.95,7.53,"1,275.00",7.47,29.52,4.46,487.57
Goose,3,8/24/10,236,4.29,35876.00859,81193.07206,173715.41,11329.26587,,,115180.8697,,,896.9,,,,0,317.99,10.76,7.1,63.27,0.11,4.61,23.91,3.21,28.27,5.41,7.09,"1,283.33",7.65,28.38,3.47,379.89
Goose,4,8/30/10,242,6.17,33987.79761,60422.7513,253020.2711,35876.00859,,,609892.146,,,"1,650.30",,,,,403.45,10.48,5.01,43.7,0.08,5,22.79,4.25,24.32,5,7.26,"1,317.50",7.69,24.55,6.37,697.08
Goose,5,9/6/10,249,3.94,305890.1785,117069.0807,253020.2711,3776.421956,,,288896.2797,,,717.52,,,,0,376.94,13.23,15.96,72.71,0.13,7.56,22.5,6.16,27.56,14.71,7.64,"1,579.00",8.01,27.82,4.1,448.51
Goose,6,9/13/10,256,3.23,181268.2539,122733.7136,311554.8114,26434.9537,,,139727.6124,,,"3,121.21",,,,0,410.08,10.5,9.99,55.7,0.1,6.51,20.22,5.31,23.28,9.81,7.55,"1,739.20",7.43,23.45,1.66,181.77
Goose,7,9/20/10,263,2.07,135951.1904,86857.705,332325.1322,173715.41,,,56646.32935,,1888.210978,"1,363.29",,,,0.01,360.51,9.94,15.06,61.97,0.11,6.63,20.97,6.08,23.09,9.83,9.21,"2,271.10",7.69,23.77,0.9,98.27
Goose,8,9/27/10,270,2.7,294560.9126,156721.5112,209591.4186,92522.33793,,,86857.705,,3776.421956,609.89,,,,,285.94,,7,57.86,0.1,5.61,19.4,5.11,21.36,5.86,6.88,"1,334.20",7.81,21.53,10.38,"1,136.39"
Goose,9,10/4/10,277,2.97,145392.2453,118957.2916,270014.1699,28323.16467,,,9441.054891,,1888.210978,"1,470.92",,,,0.04,344.05,13.7,7.03,53.44,0.09,6.81,15.48,6.11,18.19,7.01,6.06,"1,342.17",7.65,18.33,7.35,804.21
Goose,10,10/11/10,284,2.74,171827.199,87801.81049,106683.9203,43428.8525,,,37764.21956,,,"1,076.28",,,,0.04,403.45,13.14,7.02,38.64,0.07,7.01,15.54,6.06,17.65,5.86,5.31,"1,347.33",7.59,18.48,8.61,942.82
Goose,11,10/18/10,291,3.16,224697.1064,168050.7771,60422.7513,32099.58663,,,22658.53174,,3776.421956,358.76,,,,0.08,307.31,17.5,7.02,75.45,0.13,6.92,15.61,6.77,16.82,7.02,6.46,"1,354.86",7.58,16.96,10.79,"1,180.91"
Goose,12,10/25/10,298,5.34,351207.242,124621.9246,37764.21956,98186.97087,,,5664.632935,,2832.316467,322.88,,,,0.2,376.94,16.68,7.07,35.89,0.06,7.04,14.47,6.24,16.17,6.59,5.99,"1,354.50",7.6,16.44,14.69,"1,608.48"
Goose,13,11/1/10,305,4.65,77416.65011,236026.3723,5664.632935,139727.6124,,,5035.229275,,,143.5,,,,0.04,401.19,16.39,7.53,6.95,0.01,7.42,11.74,7.53,11.73,7.53,5.82,"1,362.57",7.48,11.81,35.28,"3,862.41"
Goose,14,11/12/10,316,4.33,329807.5175,299596.1419,27693.76101,149168.6673,,,7552.843913,,1888.210978,"1,757.92",,,,0.14,421.1,16.05,15.15,34.12,0.06,11.31,11.21,10.21,13.75,11.81,8.94,"1,661.20",7.83,13.89,6.72,734.97
Goose,15,11/17/10,321,5.67,349319.031,258684.904,13217.47685,3776.421956,,,288896.2797,,,"1,148.03",,,,0.03,418.34,18.7,7.64,8.57,0.01,7.64,11.24,7.64,11.24,7.64,7.64,"1,362.57",7.56,11.4,36.72,"4,020.40"
Goose,17,11/22/10,326,6.34,181268.2539,122733.7136,311554.8114,,,,,,,"1,542.67",,,,0.03,424.06,25.21,7.87,5.76,0.01,1.02,8.79,7.87,10.85,7.87,9.3,"1,971.57",7.76,8.68,2.27,248.29
Island,1,8/11/10,223,3.77,,,,,,,,,,466.39,,,,0,261.38,8.12,7.07,98.76,0.17,3.47,24.4,2.27,29.44,4.27,8.48,"1,635.50",7.77,29.75,10.71,"1,172.31"
Island,2,8/19/10,231,4.71,104481.0075,1258.807319,200150.3637,,,,,,1888.210978,861.02,,,,0,275.26,9.4,5.01,96.43,0.17,3.59,25.01,2.79,29.09,4.09,8.67,"1,703.50",7.76,29.55,5.12,559.66
Island,3,8/24/10,236,6,264349.537,,237914.5833,,,,,,,825.15,,,,0,499.6,8.76,14.57,73.29,0.13,6.64,26.41,6.04,29.02,14.49,7.51,"1,566.67",7.97,29.33,2.45,267.29
Island,4,9/3/10,246,7.73,202982.6802,,191653.4143,,,,,,,358.76,,,,0,360.49,8.46,15.13,77.4,0.14,7.57,22.1,7.07,24.82,13.67,7.44,"1,597.14",7.87,25.15,2.88,314.46
Island,5,9/10/10,253,8.72,203926.7856,,358760.0859,,,,,,2517.614638,251.13,,,,0.01,412.63,6.72,12.99,62.89,0.11,8.41,17.9,7.11,23.37,12.99,7.34,"1,605.57",7.97,23.66,2.03,222.16
Island,6,9/17/10,260,3.95,279455.2248,,211479.6296,,,,,,1888.210978,251.13,,,,0.01,277.9,8.04,15.14,61.47,0.11,6.52,19.54,5.17,24.2,13.02,7.91,"2,579.20",7.91,24.32,9.66,"1,056.90"
Island,7,9/20/10,263,1.41,388971.4615,,334213.3431,,,,,,1888.210978,574.02,,,,0.01,277.9,10.05,15.04,62.28,0.11,8.47,18.05,7.07,23.19,12.72,7.52,"1,412.64",8.01,23.62,1.93,210.63
Island,8,9/27/10,270,2.71,613668.5679,,302113.7565,,,,,,3776.421956,251.13,,,,0.03,746.16,15.38,14.09,70.23,0.12,8.54,18.48,7.59,21.84,12.89,7.23,"1,623.00",8.05,22.18,1.98,216.53
Island,9,10/4/10,277,3.3,250502.6564,,294560.9126,,,,,,1888.210978,322.88,,,,0.33,360.51,13.09,13.97,52.6,0.09,9.4,14.9,8.15,18.97,12.7,7.78,"1,635.25",8.1,19.24,2.43,265.92
Island,10,10/11/10,284,3.45,236026.3723,,192597.5198,,,,,,,179.38,,,,0.3,382.42,10.34,15.25,42.74,0.07,9.42,15.16,8.27,18.4,12.72,8.26,"1,641.25",8.1,19.15,3.07,336.14
Island,11,10/18/10,291,3.9,194485.7308,,202038.5747,,,,,,,143.5,,,,0.35,334.02,7.97,15.2,47.57,0.08,9.52,14.56,8.27,17.79,12.17,8.24,"1,647.13",8.01,18.05,3.23,353.39
Island,12,10/25/10,298,3.63,220920.6845,,158609.7222,944.1054891,,,,,944.1054891,251.13,,,,0.36,371.46,12.87,15.33,49.14,0.09,9.55,14.74,9.1,16.41,11.7,8.45,"1,652.60",7.84,16.72,5.06,553.63
Island,13,11/1/10,305,3.67,143504.0343,1888.210978,45317.06348,,,,,,,179.38,,,,0.17,452.65,13.17,15.53,28.83,0.05,12.45,9.72,12.05,10.61,12.95,9.66,"1,664.64",8.01,11.66,7.53,824.2
Island,14,11/12/10,316,3.21,235396.9686,,81822.47572,,,,,,,35.88,,,,0.23,621.55,10.03,13.02,38.91,0.07,10.49,12.67,10.09,13.84,11.74,8.66,"2,722.50",7.7,14.2,3.38,369.89
Island,15,11/17/10,321,4.48,411629.9933,,43428.8525,,,,,,,215.26,,,,0.18,559.02,8.73,10.04,7.6,0.01,4.41,10.11,10.04,11.22,9.36,8.21,"1,955.78",7.06,10.19,2.68,292.9
Island,17,12/1/10,335,4.72,,,,,,,,,,609.89,,,,0.13,463.84,14.06,,,,,,,,,,,,,,
Long,1,8/11/10,223,2.83,,,,1888.210978,3776.421956,,,,,"1,076.28",,,,0,573.79,13.04,14.03,68.02,0.12,5.35,23.67,3.15,30.94,13.7,7.55,"2,446.00",7.83,31.63,1.99,217.83
Long,2,8/19/10,231,4.47,188821.0978,,124621.9246,,,,,,,681.64,,,,0,759.02,,14.1,67.66,0.12,5.48,23.56,4.08,29.57,13.03,7.24,"2,488.25",7.69,30.09,2.65,289.19
Long,3,8/24/10,236,6.75,298337.3346,9441.054891,137839.4014,,,,1888.210978,,,"1,112.16",,,,0,113.6,13.07,12.98,69.96,0.12,5.45,23.52,4.1,29.06,12.7,7.33,"2,503.50",7.74,29.32,2.59,282.62
Long,4,8/30/10,242,1.86,598562.8801,3776.421956,111404.4477,,,,,,,717.52,,,,0,793.93,10.96,13.06,73.89,0.13,5.58,23.74,5.03,26.36,12.98,7.75,"2,545.25",7.79,27.02,5.75,629.19
Long,5,9/6/10,249,8.56,481493.7995,3776.421956,88745.91598,,,,,,,968.65,,,,0,,14.18,18.12,73.24,0.13,6.66,23.48,5.61,27.26,17.81,6.62,534.78,7.97,27.83,1.46,159
Long,6,9/13/10,256,7.57,313443.0224,3776.421956,164274.3551,,,,,1888.210978,3776.421956,"1,829.68",,,,0,573.79,13.47,14.02,62.72,0.11,6.55,20.18,5.4,23.44,12.85,7.66,"2,591.20",7.9,23.78,3.04,332.01
Long,7,9/20/10,263,8.43,224697.1064,1888.210978,186932.8868,1888.210978,,,,1888.210978,5664.632935,"3,731.10",,,,0,576.77,23.94,14.02,63.33,0.11,6.5,20.49,5.35,23.69,12.7,7.39,"2,598.80",7.83,24.24,1.04,113.23
Long,8,9/27/10,270,12.91,417294.6262,1888.210978,249243.8491,,,,,,2517.614638,"2,224.31",,,,0,721.06,14.06,13,55.92,0.1,6.67,19.96,6.12,21.92,12.67,7.64,"2,625.83",7.95,22.1,2.04,222.76
Long,9,10/4/10,277,10.31,911376.4988,10070.45855,166162.5661,,,,,,539.4888509,"2,439.57",,,,0,538.62,16.41,13.98,45.51,0.08,7.62,17.52,7.12,18.88,12.77,8.39,"2,649.71",7.85,19.08,2.18,238.74
Long,10,10/11/10,284,10.77,67436.10637,1078.977702,96568.50432,,,,,1888.210978,1888.210978,"1,793.80",,,,0,518.26,18.86,20.58,46.62,0.08,7.65,16.89,7.1,18.52,12.55,8.8,"2,663.43",7.82,19.1,3.01,328.69
Long,11,10/18/10,291,3.82,258684.904,1888.210978,149168.6673,,,,,,,"1,004.53",,,,0,721.06,17.24,14.03,44.72,0.08,8.49,15.14,7.34,17.68,12.24,8.74,"2,677.57",7.91,18.03,2.97,324.94
Long,12,10/25/10,298,5.48,466388.1116,,50981.69641,,,,,,3776.421956,538.14,,,,0,557.43,25.74,13.01,44.78,0.08,8.55,15.03,8.1,16.4,11.9,8.7,"2,699.70",7.62,16.76,3.11,339.89
Long,13,11/1/10,305,5.43,275678.8028,11329.26587,16993.8988,3776.421956,,,,,,251.13,,,,0,414.91,18.21,20.46,23.06,0.04,11.5,11.16,11.25,11.52,11.9,8.99,"2,745.73",7.6,12.06,3.8,415.86
Long,14,11/12/10,316,6.28,993198.9746,3776.421956,86857.705,,,,,,,"1,004.53",,,,0.05,573.79,21.48,19.2,34.99,0.06,10.34,10.56,9.14,13.81,9.94,8.38,556.7,7.86,13.88,4.14,453.26
Long,15,11/17/10,321,6.71,422959.2591,3776.421956,60422.7513,,,,,,,71.75,,,,0.03,448.17,14.86,13.01,13.78,0.02,12.99,9.81,13.01,9.8,11.94,8.38,"2,783.25",7.56,10.85,3.88,424.88
Long,16,11/22/10,326,6.47,483382.0104,,30211.37565,,,,,,,"1,004.53",,,,0,441.29,17.13,15.26,28.82,0.05,12.53,9.61,12.28,10.23,12.88,9.22,"1,672.17",7.84,10.42,7.79,852.3
Midland,1,8/11/10,223,5.92,216514.8588,,25176.14638,,,,,,,"11,229.19",,,,0,492.7,17.88,4.19,92.09,0.16,0.98,30.12,0.98,30.12,4.19,9.04,"2,676.50",6.58,26.37,9.39,"1,027.77"
Midland,2,8/19/10,231,8.16,147280.4563,,16993.8988,,,,,,,"6,134.80",,,,0.01,,32.4,5.68,65.76,0.11,0.89,28.64,0.89,28.64,4.84,6.94,"2,507.50",6.76,26.08,5.85,640.14
Midland,3,8/24/10,236,9.02,108886.8331,,20770.32076,,,,,,,"17,543.37",,,,0.02,783.26,28.19,14.98,73.25,0.13,6.5,23.62,5.1,29.07,14.98,6.4,531.42,7.93,29.32,4.18,457.71
Midland,4,9/1/10,244,5.62,82451.87938,,8182.247572,,,,,,,"11,480.32",,,,0,483.69,22.48,13.36,67.16,0.12,6.68,22.5,6.13,24.9,13.36,7.31,539.5,7.89,25.12,4.95,541.22
Midland,4,9/3/10,246,8.78,320051.7608,,27379.05918,,,,,,,"12,341.35",,,,0.01,492.98,16.19,,,,,,,,,,,,,,
Midland,5,9/6/10,249,9.65,72291.50602,539.4888509,10789.77702,,,,,,,"8,897.25",,,,,498.46,20.2,7,74.27,0.13,4.35,20.44,2.75,27.21,5.5,8.85,642.25,8.31,27.63,4.83,528.45
Midland,5,9/10/10,253,7.69,76787.24645,,10699.86221,,,,,,,"8,574.37",,,,0,429.46,21.53,15.95,79.12,0.14,7.45,19.8,6.95,22.82,15.8,7.45,541.63,7.98,23.63,4.42,483.37
Midland,6,9/13/10,256,5.27,305890.1785,944.1054891,9441.054891,,,,,,,"12,520.73",,,,0,621.55,17.84,,,,,,,,,,,,,,
Midland,6,9/17/10,260,6.71,655209.2094,,32099.58663,,,,,,,"6,565.31",,,,0,503.71,23.4,7.06,80.43,0.14,4.51,20.43,4.06,23.45,6.06,7.56,662.65,8.01,23.55,5.85,640.41
Midland,7,9/24/10,267,4.78,69234.40254,,2517.614638,,,,,,,"5,847.79",,,,0.08,783.26,26.31,15.08,57.18,0.1,7.6,18.93,6.4,22.13,13.95,7.37,547.92,8.19,22.39,8.65,946.56
Midland,8,9/29/10,272,5.39,236655.7759,,3776.421956,,,,,,,"9,256.01",,,,0.08,475.23,34,6.02,64.64,0.11,4.58,19.46,2.38,24.62,4.28,10.18,660.35,8.34,24.9,3.78,412.93
Midland,9,10/8/10,281,10.91,47205.27446,,1132.926587,,,,,,,"5,309.65",,,,0.24,742.16,31.15,13,51.38,0.09,8.4,14.96,7.15,19.3,13,7.79,548.81,8.18,19.43,6.13,670.96
Midland,10,10/15/10,288,8.36,72381.42083,,5664.632935,,,,,,,"6,744.69",,,,0.02,472.89,29.55,18.77,54.65,0.1,8.46,15.09,7.36,18.3,8.76,8.31,550.39,8.2,19.14,6.54,715.85
Midland,11,10/22/10,295,6.73,300225.5455,,3776.421956,,,,,,,"1,183.91",,,,0.13,507.73,30.9,19.36,50.16,0.09,8.56,14.7,7.56,17.4,8.81,8,552.31,8.19,18.04,4.51,493.72
Midland,12,10/27/10,300,9.02,458835.2677,,1888.210978,,,,,,,645.77,,,,0.26,552.14,30.3,18.45,47.88,0.08,8.57,14.63,8.07,16.4,9.02,8.05,555.16,7.82,16.74,3.07,335.87
Midland,13,11/5/10,309,22.22,230361.7393,,6294.036594,,,,,,,0,,,,0.29,426.9,52.8,19.1,26.44,0.05,11.37,9.19,10.32,11.06,11.72,9.29,557.45,7.88,11.67,11.5,"1,258.27"
Midland,14,11/12/10,316,53.34,63779.57082,419.6024396,419.6024396,,,,,,,35.88,,,,0.4,586.57,71.05,7.01,12.47,0.02,6.97,11.48,7.01,11.46,7.01,6.97,695.38,7.62,11.71,10.96,"1,199.50"
Midland,15,11/19/10,323,8.54,687308.7961,,52869.90739,3776.421956,,,,,,0,,,,0.24,411.07,58.01,,,,,,,,,,,,,,
Midland,17,12/1/10,335,5.59,819483.5646,,86857.705,,,,,,,0,,,,0.01,408.69,57.96,,,,,,,,,,,,,,
Pump,1,8/11/10,223,1.87,,,,1258.807319,,,,,,645.77,,,,0,277.9,8.39,6.05,79.71,0.14,3.36,23.88,1.36,31.61,5.36,8.32,597.6,8.08,31.8,2.9,317.11
Pump,2,8/19/10,231,1.65,66716.7879,,234138.1613,,,,,,,645.77,,,,0,698.42,6.12,6.04,92.59,0.16,3.52,24.82,2.67,29.02,5.02,8.25,626.15,8.04,29.65,4.61,504.36
Pump,3,8/24/10,236,2.58,60422.7513,,324772.2883,944.1054891,,,,,,"1,040.40",,,,0,285.94,11,6.05,79.28,0.14,2.61,26.87,2.16,29.1,3.86,8.66,629.9,8.15,29.25,6.69,732.12
